package,versions,declared_license,source
@borewit/text-codec,0.2.2,MIT,https://github.com/Borewit/text-codec#readme
@cbor-extract/cbor-extract-darwin-arm64,2.2.2,MIT,https://github.com/kriszyp/cbor-extract#readme
@cfworker/json-schema,4.1.1,MIT,https://github.com/cfworker/cfworker/tree/master/packages/json-schema/README.md
@codemirror/autocomplete,6.20.3,MIT,
@codemirror/commands,6.11.0,MIT,
@codemirror/lang-css,6.3.1,MIT,https://github.com/codemirror/lang-css#readme
@codemirror/lang-html,6.4.12,MIT,
@codemirror/lang-javascript,6.2.5,MIT,https://github.com/codemirror/lang-javascript#readme
@codemirror/lang-markdown,6.5.2,MIT,
@codemirror/language,6.12.4,MIT,
@codemirror/lint,6.9.7,MIT,
@codemirror/search,6.7.2,MIT,
@codemirror/state,6.7.4,MIT,
@codemirror/theme-one-dark,6.1.3,MIT,https://github.com/codemirror/theme-one-dark#readme
@codemirror/view,6.43.11,MIT,
@esbuild/darwin-arm64,0.28.1,MIT,https://github.com/evanw/esbuild#readme
@floating-ui/core,1.8.0,MIT,https://floating-ui.com
@floating-ui/dom,1.8.0,MIT,https://floating-ui.com
@floating-ui/react-dom,2.1.9,MIT,https://floating-ui.com/docs/react-dom
@floating-ui/utils,0.2.12,MIT,https://floating-ui.com
@hono/node-server,2.1.1,MIT,https://github.com/honojs/node-server
@img/colour,1.1.0,MIT,https://github.com/lovell/colour#readme
@jridgewell/gen-mapping,0.3.13,MIT,https://github.com/jridgewell/sourcemaps/tree/main/packages/gen-mapping
@jridgewell/remapping,2.3.5,MIT,https://github.com/jridgewell/sourcemaps/tree/main/packages/remapping
@jridgewell/resolve-uri,3.1.2,MIT,https://github.com/jridgewell/resolve-uri#readme
@jridgewell/sourcemap-codec,1.6.0,MIT,https://github.com/jridgewell/sourcemaps/tree/main/packages/sourcemap-codec
@jridgewell/trace-mapping,0.3.31,MIT,https://github.com/jridgewell/sourcemaps/tree/main/packages/trace-mapping
@keyv/serialize,1.1.1,MIT,https://github.com/jaredwray/keyv
@lezer/common,1.5.2,MIT,https://github.com/lezer-parser/common#readme
@lezer/css,1.3.6,MIT,
@lezer/highlight,1.2.3,MIT,https://github.com/lezer-parser/highlight#readme
@lezer/html,1.3.13,MIT,https://github.com/lezer-parser/html#readme
@lezer/javascript,1.5.4,MIT,https://github.com/lezer-parser/javascript#readme
@lezer/lr,1.4.10,MIT,
@lezer/markdown,1.7.2,MIT,
@lukeed/csprng,1.1.0,MIT,https://github.com/lukeed/csprng#readme
@marijn/find-cluster-break,1.0.4,MIT,https://code.haverbeke.berlin/marijn/find-cluster-break
@modelcontextprotocol/sdk,1.30.0,MIT,https://modelcontextprotocol.io
@napi-rs/nice,1.1.1,MIT,https://github.com/Brooooooklyn/nice#readme
@napi-rs/nice-darwin-arm64,1.1.1,MIT,https://github.com/Brooooooklyn/nice#readme
@nestjs/common,12.0.1,MIT,https://nestjs.com
@nestjs/core,12.0.1,MIT,https://nestjs.com
@next/env,16.3.4,MIT,https://github.com/vercel/next.js#readme
@next/swc-darwin-arm64,16.3.4,MIT,https://github.com/vercel/next.js#readme
@noble/ciphers,2.4.0,MIT,https://paulmillr.com/noble/
@noble/hashes,2.4.0,MIT,https://paulmillr.com/noble/
@nuxt/kit,4.4.8,MIT,https://nuxt.com/docs/4.x/api/kit
@oclif/core,4.11.4;4.14.0,MIT,https://github.com/oclif/core
@oclif/plugin-help,6.2.37,MIT,https://github.com/oclif/plugin-help
@octokit/app,16.1.4,MIT,https://github.com/octokit/app.js#readme
@octokit/auth-app,8.3.1,MIT,https://github.com/octokit/auth-app.js#readme
@octokit/auth-oauth-app,9.0.5,MIT,https://github.com/octokit/auth-oauth-app.js#readme
@octokit/auth-oauth-device,8.0.5,MIT,https://github.com/octokit/auth-oauth-device.js#readme
@octokit/auth-oauth-user,6.0.4,MIT,https://github.com/octokit/auth-oauth-user.js#readme
@octokit/auth-token,6.0.0,MIT,https://github.com/octokit/auth-token.js#readme
@octokit/auth-unauthenticated,7.0.5,MIT,https://github.com/octokit/auth-unauthenticated.js#readme
@octokit/core,7.0.8,MIT,https://github.com/octokit/core.js#readme
@octokit/endpoint,11.0.5,MIT,https://github.com/octokit/endpoint.js#readme
@octokit/graphql,9.0.5,MIT,https://github.com/octokit/graphql.js#readme
@octokit/oauth-app,8.0.4,MIT,https://github.com/octokit/oauth-app.js#readme
@octokit/oauth-authorization-url,8.0.0,MIT,https://github.com/octokit/oauth-authorization-url.js#readme
@octokit/oauth-methods,6.0.5,MIT,https://github.com/octokit/oauth-methods.js#readme
@octokit/openapi-types,28.0.0;29.0.1,MIT,https://github.com/octokit/openapi-types.ts#readme
@octokit/openapi-webhooks-types,12.1.0,MIT,https://github.com/octokit/openapi-webhooks#readme
@octokit/plugin-paginate-rest,15.0.0,MIT,https://github.com/octokit/plugin-paginate-rest.js#readme
@octokit/request,10.0.16,MIT,https://github.com/octokit/request.js#readme
@octokit/request-error,7.1.2,MIT,https://github.com/octokit/request-error.js#readme
@octokit/types,17.0.0;18.0.0,MIT,https://github.com/octokit/types.ts#readme
@octokit/webhooks,14.2.0,MIT,https://github.com/octokit/webhooks.js#readme
@octokit/webhooks-methods,6.0.0,MIT,https://github.com/octokit/webhooks-methods.js#readme
@opencode-ai/sdk,1.18.29,MIT,
@oxc-project/types,0.148.0,MIT,https://oxc.rs
@radix-ui/number,1.1.3,MIT,https://radix-ui.com/primitives
@radix-ui/primitive,1.1.7,MIT,https://radix-ui.com/primitives
@radix-ui/react-arrow,1.1.15,MIT,https://radix-ui.com/primitives
@radix-ui/react-collection,1.1.15,MIT,https://radix-ui.com/primitives
@radix-ui/react-compose-refs,1.1.5,MIT,https://radix-ui.com/primitives
@radix-ui/react-context,1.2.2,MIT,https://radix-ui.com/primitives
@radix-ui/react-dialog,1.1.23,MIT,https://radix-ui.com/primitives
